metric,value,unit,phase
peak_area,1.76018,km²,growth
time_of_peak_area,10.5,h,growth
growth_duration,11.0,h,growth
growth_steps,23.0,steps,growth
max_ros_final,3.825833,m/min,growth
mean_ros_final,1.9235526086956525,m/min,growth
max_ros_surface,2.5,m/min,growth
max_burning_index,574.93,—,growth
max_erc,88.99,—,growth
crown_fire_steps,22.0,steps,growth
total_spot_fires,0.0,count,growth
mean_temp_f,48.986956521739145,°F,growth
min_temp_f,41.9,°F,growth
max_temp_f,54.1,°F,growth
mean_humidity,67.26086956521739,%,growth
mean_midflame_wind,11.55478260869565,mph,growth
initial_moist_1h,0.0869,frac,growth
final_moist_1h,0.2456,frac,growth
max_struct_loss_idx,0.0781,0-1,growth
max_n_at_risk,135.0,count,growth
road_density,1.8980000000000008,km/km²,growth
nearest_road,38.0,m,growth
decay_steps,19.0,steps,decay
extinction_time,20.5,h,decay
full_duration,20.5,h,both
mean_burnout_k,0.42146842105263155,—,decay
max_burnout_k,0.6,—,decay
